Date,AAPL_Close,SP500_Close,AAPL_Return,SP500_Return,AAPL_21d_Volatility
2/3/2015,26.39366340637207,2050.030029296875,0.000168551,0.014439495293299576,0.3687388562570184
2/4/2015,26.596094131469727,2041.510009765625,0.007669671,-0.004156046,0.34954724959762173
2/5/2015,26.785919189453125,2062.52002,0.007137328,0.010291406686777416,0.3489331330666113
2/6/2015,26.560361862182617,2055.469970703125,-0.008420742,-0.003418172,0.3512474482342915
2/9/2015,26.736791610717773,2046.739990234375,0.006642596,-0.004247194,0.3298985044828022
2/10/2015,27.250436782836914,2068.590087890625,0.019211174609044646,0.010675561019232394,0.33409207057994567
2/11/2015,27.889162063598633,2068.530029296875,0.023439084145763234,-2.90E-05,0.32260250548165686
2/12/2015,28.242013931274414,2088.47998,0.012651935,0.009644506,0.32317734379136986
2/13/2015,28.380483627319336,2096.989990234375,0.004902968,0.004074738,0.3209231623900103
2/17/2015,28.54797935,2100.340087890625,0.005901793,0.001597574,0.29556864838415164
2/18/2015,28.746736526489258,2099.679931640625,0.006962215,-0.000314309,0.28941634125679877
2/19/2015,28.686447143554688,2097.449951171875,-0.00209726,-0.001062057,0.28593681093049333
2/20/2015,28.920934677124023,2110.300048828125,0.008174157,0.006126534,0.28592674872065266
2/23/2015,29.702579498291016,2109.659912109375,0.027026955729244184,-0.000303339,0.28673494659150794
2/24/2015,29.51721954345703,2115.47998,-0.006240534,0.002758771,0.2910397251598847
2/25/2015,28.76236915588379,2113.860107421875,-0.025573221,-0.000765724,0.3126828472687562
2/26/2015,29.126399993896484,2110.739990234375,0.012656496967956787,-0.001476028,0.2740035707459801
2/27/2015,28.688674926757812,2104.5,-0.015028464,-0.002956305,0.2248029940363289
3/2/2015,28.829364776611328,2117.389892578125,0.00490402,0.006124919,0.20447302290579913
3/3/2015,28.889665603637695,2107.780029296875,0.002091646,-0.004538542,0.19295588104905237
3/4/2015,28.706539154052734,2098.530029296875,-0.006338822,-0.004388503,0.1947155511425701
3/5/2015,28.23085594177246,2101.040039,-0.016570552,0.00119608,0.20719486111570415
3/6/2015,28.27328109741211,2071.260009765625,0.001502794,-0.014173947,0.20665319476607044
3/9/2015,28.393878936767578,2079.429931640625,0.004265435,0.003944421,0.20616708894759936
3/10/2015,27.806528091430664,2044.1600341796875,-0.020685826,-0.01696133,0.21862470839648124
3/11/2015,27.299575805664062,2040.239990234375,-0.018231413,-0.00191768,0.22909461906750878
3/12/2015,27.793132781982422,2065.949951171875,0.018079291,0.012601439566208406,0.22799755848712894
3/13/2015,27.601064682006836,2053.399902,-0.006910632,-0.006074711,0.2142506005117906
3/16/2015,27.904794692993164,2081.189941,0.011004286047861411,0.013533671171787054,0.21305787976949994
3/17/2015,28.371551513671875,2074.280029296875,0.016726761,-0.003320174,0.2206285581104923
3/18/2015,28.69091033935547,2099.5,0.011256304595457234,0.012158421402569175,0.22317472395341825
3/19/2015,28.47427749633789,2089.27002,-0.007550574,-0.004872579,0.2234046129954644
3/20/2015,28.116954803466797,2108.100098,-0.012548964,0.009012755,0.2273286271889896
3/23/2015,28.40951156616211,2104.419922,0.010404994592772887,-0.001745731,0.22857321226245528
3/24/2015,28.293380737304688,2091.5,-0.004087745,-0.006139422,0.2051418742343485
3/25/2015,27.554168701171875,2061.050048828125,-0.026126678,-0.014558906,0.22099191863019244
3/26/2015,27.746232986450195,2056.149902,0.006970426,-0.0023775,0.20780055242734238
3/27/2015,27.525136947631836,2061.02002,-0.007968507,0.002368561,0.2021402166533362
3/30/2015,28.221921920776367,2086.239990234375,0.025314496144749565,0.012236645187396533,0.21855832287880306
3/31/2015,27.788665771484375,2067.889892578125,-0.015351759,-0.008795775,0.22323895577961134
4/1/2015,27.748458862304688,2059.689941,-0.001446882,-0.003965371,0.2228268241577786
4/2/2015,27.987424850463867,2066.959961,0.008611865,0.003529667,0.2250175342192064
4/6/2015,28.44078826904297,2080.620117,0.016198825758404478,0.006608815,0.22528432160474876
4/7/2015,28.141530990600586,2076.330078,-0.010522116,-0.002061904,0.22840499614394172
4/8/2015,28.049957275390625,2081.899902,-0.003254042,0.002682533,0.2280693874055969
4/9/2015,28.264345169067383,2091.179931640625,0.007643074,0.004457481,0.2173075005387675
4/10/2015,28.384946823120117,2102.060059,0.004266918,0.005202865,0.20607897401614284
4/13/2015,28.329116821289062,2092.429931640625,-0.001966888,-0.004581281,0.19783076969399777
4/14/2015,28.206281661987305,2095.840087890625,-0.004336004,0.001629759,0.19673421648252534
